,user_name,user_location,user_description,user_verified,date,text,hashtags,source
157,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 08:20:03+00:00,"Vince Neil documentary details drugs, death, debauchery and 'a lot of heart, soul and love' https://t.co/ynZa6KtRh1 https://t.co/EnVfLzBuxl",,SocialFlow
158,KAFFARAH,I LOVE CHOCLATE!!!!!,#KTBFFH,False,2022-06-29 08:19:59+00:00,@YahooEnt: Johnny Depp's rep denies report that actor is returning to Pirates franchise https://t.co/ClkyHj5jO8 https://t.co/ZGkgW0vhBG,,Twitter for iPhone
159,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 07:55:20+00:00,Troian Bellisario on giving birth in a car: 'I was mentally on a different planet' https://t.co/q6oxRYsVlH https://t.co/T3aHOpmbDl,,SocialFlow
160,spencer,arcadia,★,False,2022-06-29 07:49:54+00:00,@jarodzsz: the therapy sessions: https://t.co/ol2vxVxw4H,,Twitter for iPhone
161,🇮🇶𝐅𝐚𝐥𝐜𝐨𝐧 𝐇𝐚𝐦𝐚𝐝𝐚,Iraq,"Official Account
The Only to Mr
The Falcon Hamada
Via Platform A Twitter
✋🏻⁩😔🚫+21",False,2022-06-29 07:34:16+00:00,@YahooEnt: Mandy Moore cancels remainder of 2022 tour dates amid pregnancy to focus on health and family https://t.co/ZCd3Uwr0Vu https:/…,,Twitter for Android
162,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 07:34:03+00:00,Mandy Moore cancels remainder of 2022 tour dates amid pregnancy to focus on health and family https://t.co/ZCd3Uwr0Vu https://t.co/RGd8XBP0OT,,SocialFlow
163,Luke Whitticase,"Birmingham, England",,False,2022-06-29 07:24:41+00:00,"@the_moviebob: I mean... this is a LITTLE whiny, but I'd have a *tiny* chip on my shoulder if EVERYONE had been taking bets on when I'd…",,Twitter for Android
164,Andrew Weiss,,,False,2022-06-29 07:22:04+00:00,"@the_moviebob: I mean... this is a LITTLE whiny, but I'd have a *tiny* chip on my shoulder if EVERYONE had been taking bets on when I'd…",,Twitter Web App
165,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 07:13:19+00:00,Billie Eilish says she felt 'trapped' in her public persona and changed it to 'f— with everyone' https://t.co/Ukkbmb0PTQ https://t.co/ylsXDWXVBW,,SocialFlow
166,Lÿndsey Parker,"Through To Hollywood, Dawg","@YahooEnt music editor, @SiriusXMVolume host, @total80smusic, @axstv. Order #MissMercy book I cowrote, ‘Permanent Damage’: https://t.co/yjLWAswmrX",True,2022-06-29 07:04:51+00:00,@YahooEnt: 'AGT' gives Willie Nelson protégé a second chance after her 'life was flipped upside-down' https://t.co/nsqvUE5iQE https://t.…,,Echofon
167,Megatronus Rex,Prehistoric Earth,"Reject the Maximals, become a MARXimal! From the tempest fury, the spark ignites! He/him",False,2022-06-29 06:54:56+00:00,"@the_moviebob: I mean... this is a LITTLE whiny, but I'd have a *tiny* chip on my shoulder if EVERYONE had been taking bets on when I'd…",,Twitter Web App
168,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 06:49:39+00:00,"Depeche Mode co-founder Andy Fletcher's death was caused by an 'aortic dissection,' band confirms https://t.co/TqGfoSsTPf https://t.co/gUIidb8jsU",,SocialFlow
169,Controversial Joe,"Rochester, NY","USMC (5811), USPS",False,2022-06-29 06:35:04+00:00,@YahooEnt And yet there are so many other ways to stop that from happening other than using abortion as birth control. And why does this not surprise me coming from her.,,Twitter for iPhone
170,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 06:29:23+00:00,Jemele Hill opens up about getting an abortion at 26: 'I simply had no desire to give birth to a child' https://t.co/pJ1OBdqM1j https://t.co/jqE4mkrX6r,,SocialFlow
171,JulSo,,Aspiring Filmmaker & Writer and Aspiring Adult. Angry Ace. He/Him/His. AVFC. Video Reporter for @WEBylines. Profile pic by @camizl3r. Thoughts are my own.,False,2022-06-29 06:28:16+00:00,"@the_moviebob: I mean... this is a LITTLE whiny, but I'd have a *tiny* chip on my shoulder if EVERYONE had been taking bets on when I'd…",,Twitter Web App
172,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 06:07:13+00:00,"Travis Barker hospitalized in Los Angeles, wife Kourtney Kardashian by his side: Report https://t.co/SR74p1cqPq https://t.co/jpHeQjmLvo",,SocialFlow
173,Kurt Mosiejczuk,"Rochester, NY","Longtime OpenBSD user, now developer. Sysadmin. he/him",False,2022-06-29 05:47:15+00:00,"@voretaq7: If you don't want to be called ""the worst Chris"" maybe don't actively work your ass off at being the worst Chris?

Like I get…",,Twitter Web App
174,niko655,"Bronx, NY",🍄🎡🎲 |she/her| ♏️,False,2022-06-29 05:42:41+00:00,@RobbBeaux: Y’all act like this man got shot by a rival gang 😭😭😭😭,,Twitter for iPhone
175,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 05:40:09+00:00,Charli D'Amelio is dating Travis Barker's son Landon Barker https://t.co/h10cznwYVR https://t.co/R75Wsggqap,,SocialFlow
176,MA_NYC,"New York, NY",“The ideal subject of totalitarian rule.. the distinction between fact and fiction and the distinction between true and false no longer exist.” ―Hannah Arendt,False,2022-06-29 05:28:07+00:00,@YahooEnt: Whoopi Goldberg calls out Clarence Thomas on ‘The View’: 'You better hope they don’t come for you next' https://t.co/BqDs553Y…,,Twitter for iPad
177,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 05:28:04+00:00,Bill Hader and Anna Kendrick have reportedly broken up https://t.co/w5w7RUyYbf https://t.co/u0sDHE9UDk,,SocialFlow
178,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 05:05:54+00:00,"Nikita Dragun on her bipolar diagnosis, Pride and clapping back at critics: 'I've dealt with negative comments my entire life' https://t.co/tOsjBrO4jI https://t.co/WWSwfRDgH6",,SocialFlow
179,☕️ERICA 🏳️‍🌈,nunya business ,"pansexual. athiest, Autism warrior mom! pro wrestling fan! she/her  cashapp $reeceecup527",False,2022-06-29 04:49:43+00:00,"@YahooEnt: Lil Nas X details 'painful and strained' history with BET, says network asked if he worshiped satan https://t.co/hnpdhpUQQ9 h…",,Twitter for iPhone
180,Anonymous User,,"If you're here because I triggered you, I've already won. The far left and right are both insane and us normal folks are caught in between your insane tribalism",False,2022-06-29 04:46:02+00:00,"@YahooEnt Way to make this article unnecessarily ultra woke 🙄

Sometimes its just cringe.",,Twitter for Android
181,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 04:42:47+00:00,"Lil Nas X details 'painful and strained' history with BET, says network asked if he worshiped satan https://t.co/hnpdhpUQQ9 https://t.co/YTEiMeqBPQ",,SocialFlow
182,sean joshua belbis,,Life is Journey. We Must Return To Our Destination. Were We Came From.,False,2022-06-29 04:37:53+00:00,@YahooEnt: Halloween is coming early this year! Watch the first 'Hocus Pocus 2' trailer here https://t.co/7wqh16yzUm https://t.co/li5yrs…,,Twitter for iPhone
183,sean joshua belbis,,Life is Journey. We Must Return To Our Destination. Were We Came From.,False,2022-06-29 04:37:11+00:00,@YahooEnt: The long-awaited sequel to the 1993 box office disappointment-turned-annual tradition is here! Get a first look at the Hocus…,,Twitter for iPhone
184,☕️ERICA 🏳️‍🌈,nunya business ,"pansexual. athiest, Autism warrior mom! pro wrestling fan! she/her  cashapp $reeceecup527",False,2022-06-29 04:24:06+00:00,"@YahooEnt: Ariana DeBose, Troy Kotsur, Billie Eilish among 397 invited to join Oscars Academy https://t.co/bQ2IRg04ie https://t.co/nDatj…",,Twitter for iPhone
185,🇮🇶𝐅𝐚𝐥𝐜𝐨𝐧 𝐇𝐚𝐦𝐚𝐝𝐚,Iraq,"Official Account
The Only to Mr
The Falcon Hamada
Via Platform A Twitter
✋🏻⁩😔🚫+21",False,2022-06-29 04:20:47+00:00,"@YahooEnt: Ariana DeBose, Troy Kotsur, Billie Eilish among 397 invited to join Oscars Academy https://t.co/bQ2IRg04ie https://t.co/nDatj…",,Twitter for Android
186,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 04:19:30+00:00,"Ariana DeBose, Troy Kotsur, Billie Eilish among 397 invited to join Oscars Academy https://t.co/bQ2IRg04ie https://t.co/nDatjNqdNN",,SocialFlow
187,HRH Countess Stacie,North Carolina & SW5 London UK,"She/Her Devoted to UNC,Snow Patrol,Chelsea FC and Scandal. #Gladiator #resist #RangersFC #SussexSquad #BLM 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿",False,2022-06-29 04:02:34+00:00,"@YahooEnt: Princess Diana ‘Panorama’ interview: BBC apologizes, pays whistleblower Mark Killick ‘significant sum’ https://t.co/V5kDqaEJd…",,Twitter for Android
188,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 03:59:04+00:00,"Princess Diana ‘Panorama’ interview: BBC apologizes, pays whistleblower Mark Killick ‘significant sum’ https://t.co/V5kDqaEJde https://t.co/EpLNLxqYqk",,SocialFlow
189,Yahoo Entertainment,New York and LA,Be in the know and in the now with pop culture and celeb stories you can't live without.,True,2022-06-29 03:53:58+00:00,'AGT' gives Willie Nelson protégé a second chance after her 'life was flipped upside-down' https://t.co/nsqvUE5iQE https://t.co/80ek3iiJLD,,SocialFlow
190,DeeLashay79,"Arizona, USA",Hi married here love my hubby and love my 4 kids and I love being a autism mom of my youngest son here for followers 30s and 50s,False,2022-06-29 03:40:34+00:00,"@YahooEnt: Busy Philipps, 43, says she's never had Botox, fillers: 'People have actually accused me of work' https://t.co/OFKQD8rcUx htt…",,Twitter for Android
